instrument,quarter,bars,lstm_f1,ens_f1,lstm_sharpe
AAPL,2024Q1,61,0.1707,0.3184,1.5418
AAPL,2024Q2,63,0.0991,0.3157,-3.3274
AAPL,2024Q3,64,0.1197,0.1629,-1.4005
AAPL,2024Q4,64,0.1197,0.2391,-2.5342
AAPL,2025Q1,60,0.1472,0.3618,1.2276
AAPL,2025Q2,62,0.1368,0.2959,0.4327
AAPL,2025Q3,64,0.0978,0.2622,-3.418
AAPL,2025Q4,64,0.1197,0.2483,-1.5298
EURUSD,2024Q1,65,0.1181,0.2825,1.8198
EURUSD,2024Q2,65,0.1446,0.3964,0.5016
EURUSD,2024Q3,66,0.1301,0.2725,-2.9508
EURUSD,2024Q4,66,0.1986,0.3229,3.7525
EURUSD,2025Q1,63,0.1212,0.3377,-2.1474
EURUSD,2025Q2,63,0.1784,0.3259,-2.8273
EURUSD,2025Q3,66,0.185,0.2699,-0.1168
EURUSD,2025Q4,65,0.1446,0.4435,-0.1139
GBPUSD,2024Q1,65,0.285,0.2729,1.9394
GBPUSD,2024Q2,65,0.2745,0.3607,0.8526
GBPUSD,2024Q3,66,0.1471,0.318,-3.9053
GBPUSD,2024Q4,66,0.242,0.3147,0.1235
GBPUSD,2025Q1,63,0.1941,0.358,-1.1127
GBPUSD,2025Q2,63,0.277,0.4083,1.3949
GBPUSD,2025Q3,66,0.225,0.3379,-0.9094
GBPUSD,2025Q4,65,0.2888,0.3979,2.6311
GLD,2024Q1,61,0.1171,0.3014,-3.0151
GLD,2024Q2,63,0.1282,0.3197,-1.5801
GLD,2024Q3,64,0.1212,0.3208,-4.1037
GLD,2024Q4,64,0.1399,0.3135,0.2754
GLD,2025Q1,60,0.1033,0.2433,-5.358
GLD,2025Q2,62,0.1564,0.2998,-1.0771
GLD,2025Q3,64,0.1469,0.3104,-3.8896
GLD,2025Q4,64,0.0978,0.2472,-1.8478
MSFT,2024Q1,61,0.1959,0.4335,-1.8072
MSFT,2024Q2,63,0.2315,0.4064,1.8689
MSFT,2024Q3,64,0.171,0.2909,-1.0239
MSFT,2024Q4,64,0.257,0.2414,2.436
MSFT,2025Q1,60,0.2026,0.3667,-2.0656
MSFT,2025Q2,62,0.1379,0.1644,-3.9775
MSFT,2025Q3,64,0.2241,0.358,-0.4637
MSFT,2025Q4,64,0.2222,0.3117,-0.2668
NDX,2024Q1,61,0.1358,0.321,-3.3075
NDX,2024Q2,63,0.2585,0.3332,-1.8228
NDX,2024Q3,64,0.1266,0.3937,-0.7598
NDX,2024Q4,64,0.2271,0.2849,-2.0072
NDX,2025Q1,60,0.3033,0.4589,1.8117
NDX,2025Q2,62,0.1453,0.2892,-1.7537
NDX,2025Q3,64,0.1234,0.3399,-3.9615
NDX,2025Q4,64,0.2273,0.3715,0.26
SPX,2024Q1,61,0.1349,0.3978,-4.0375
SPX,2024Q2,63,0.1443,0.293,-1.6176
SPX,2024Q3,64,0.1266,0.3767,-1.3542
SPX,2024Q4,64,0.1434,0.3277,-1.1079
SPX,2025Q1,60,0.1933,0.367,1.194
SPX,2025Q2,62,0.1081,0.267,-1.4531
SPX,2025Q3,64,0.1333,0.4137,-3.5311
SPX,2025Q4,64,0.1894,0.2827,-0.6974
USO,2024Q1,61,0.2354,0.29,0.4953
USO,2024Q2,63,0.2035,0.3786,-2.8751
USO,2024Q3,64,0.241,0.3274,-1.4725
USO,2024Q4,64,0.259,0.3309,-0.503
USO,2025Q1,60,0.2452,0.372,0.1803
USO,2025Q2,62,0.2574,0.2904,0.0617
USO,2025Q3,64,0.1399,0.2914,-0.5819
USO,2025Q4,64,0.2294,0.2491,-1.6478
